id,asset_id,side,close_reason,entry_price,close_price,closed_pnl_pct,trailing_stop_peak_pnl_pct,size_usd,created_at,closed_at,signal_still_active,error,foregone_1h,end_pct_1h,foregone_4h,end_pct_4h,foregone_12h,end_pct_12h,foregone_24h,end_pct_24h,foregone_48h,end_pct_48h,continued_24h,max_additional_24h
f276f864-cc71-4725-8994-df68ff80bc65,btc,long,bb2_expiry,73965,74552,0.7936186033934969,1.66700466436828,35.7864,2026-04-15 05:32:25.837042+00,2026-04-15 21:33:10.569+00,True,,1.137,0.483,1.137,0.071,1.137,0.004,1.27,0.467,4.999,3.817,False,1.27
b9f5d8fb-cf15-4cb1-9515-83fb807883b1,btc,long,bb2_expiry,73981,74552,0.7718197915681053,1.64501696381503,188.62668000000002,2026-04-15 05:32:15.215769+00,2026-04-15 21:33:05.504+00,True,,1.137,0.483,1.137,0.071,1.137,0.004,1.27,0.467,4.999,3.817,False,1.27
5936ae2c-613b-4330-b01b-c18508b95da1,spx,long,bb2_expiry,6964.7,7006.9,0.6059126739127287,0.59155455367783,28.028000000000002,2026-04-15 02:32:15.993663+00,2026-04-15 18:33:08.143+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
21570d99-1b1a-44a6-b6d5-395c31f866eb,sol,short,stop_loss,84.262,85.002,-0.8782131921862701,0.881773515938377,250.01760000000002,2026-04-15 14:32:14.045208+00,2026-04-15 17:29:05.388+00,True,,0.687,-0.016,0.979,0.299,0.979,-0.398,1.443,-1.856,1.443,-5.509,False,1.443
8633fbbe-680e-4aa1-a0ea-0e27f3023779,aapl,long,bb2_expiry,258.63,264.87,2.4127131423268797,2.32764953794996,18.40916,2026-04-15 00:02:21.256588+00,2026-04-15 16:03:08.79+00,True,,0.362,-0.087,0.63,0.589,0.951,0.702,1.525,-0.597,2.816,2.345,False,1.525
6fbb0c22-1b25-4c8d-be97-2787687555d8,tsla,short,stop_loss,371.071,376.9,-1.5708584071511786,0.0,29.7593,2026-04-15 14:02:16.232326+00,2026-04-15 14:17:08.682+00,True,,1.857,-3.985,1.857,-3.518,1.857,-4.755,1.857,-1.974,1.857,-7.798,False,1.857
b9b8d659-fe5e-4db5-a96d-786a7a48178b,nvda,long,bb2_expiry,196.05,198.1,1.0456516194848167,0.239734761540423,48.497749999999996,2026-04-14 21:32:23.56191+00,2026-04-15 13:33:11.547+00,True,,0.878,0.621,1.297,-0.979,1.297,0.389,1.297,-0.702,1.843,1.535,False,1.297
49c1579b-859e-4d66-a50a-54174b511869,nvda,long,bb2_expiry,196.051,197.92,0.9533233699394544,0.234122753773255,241.84601999999998,2026-04-14 21:32:14.236104+00,2026-04-15 13:33:05.564+00,True,,0.97,0.712,1.389,-0.889,1.389,0.48,1.389,-0.611,1.935,1.627,False,1.389
6ed64cea-3fc7-4d64-9367-46641d78c0d2,spx,long,bb2_expiry,6948.2,6954.9,0.09642785181773435,0.375636855588503,250.39079999999998,2026-04-14 18:32:14.985168+00,2026-04-15 10:33:05.684+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
46b6e692-212e-4217-bdf4-ac3e9ed1d4f0,gold,short,bb2_expiry,4800.8,4820.8,-0.4165972337943676,0.170804865855687,10.12347,2026-04-14 14:02:22.083886+00,2026-04-15 06:03:09.718+00,True,,0.334,0.205,0.682,0.373,0.682,0.388,0.682,-0.143,1.056,0.676,False,0.682
dabc9c00-a603-4806-a91b-94fd9f794322,hype,long,stop_loss,43.666,43.33,-0.7694773966014714,0.421380479091294,182.44456,2026-04-15 04:32:14.198645+00,2026-04-15 05:59:06.279+00,True,,1.459,0.194,1.459,1.057,3.919,2.285,5.615,5.105,5.615,0.434,True,5.615
1fcc03f1-d5cc-4bec-b505-0c732cec2ade,oil,short,stop_loss,88.124,88.842,-0.8147610185647537,0.00567382324905299,212.17425699999998,2026-04-15 02:32:26.584658+00,2026-04-15 04:47:06.492+00,True,,0.778,0.34,1.33,-0.088,1.33,0.222,1.664,0.71,1.664,-0.872,False,1.664
8de5a1f1-6161-47f2-842f-df2927583fc0,tsla,short,stop_loss,341.07,368.42,-8.01888175447856,1.01445451080423,17.8223175,2026-04-09 00:12:13.51982+00,2026-04-15 01:17:09.027+00,False,,0.752,0.554,1.064,0.798,1.561,-0.562,1.561,-7.521,1.561,-5.1,False,1.561
91a004fe-869d-44f8-9110-51c5eb5e8199,oil,short,trailing_stop,88.927,87.162,1.9847740281354374,2.84165663971572,205.29712800000001,2026-04-14 23:02:18.394323+00,2026-04-14 23:53:06.551+00,True,,3.044,-0.62,3.044,-1.181,3.044,-2.165,3.044,-0.662,3.044,-3.323,True,3.044
ace443a6-5c61-410a-93d5-5d33b908ec59,btc,long,bb2_expiry,74331,74057,-0.3686214365473356,2.10679258990193,11.10855,2026-04-14 05:02:13.435987+00,2026-04-14 21:03:09.908+00,True,,0.361,-0.096,0.903,0.678,0.903,-0.117,1.618,0.868,1.947,1.138,False,1.618
78a52416-5f4f-4574-9e7a-b66eb5ded6cf,spx,long,bb2_expiry,6883.6,6961.2,1.1273171015166403,1.17235167644837,20.8839,2026-04-14 04:02:17.281696+00,2026-04-14 20:03:09.846+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
e0e76c3b-f680-4ce2-b0e8-f8a4532c94c0,eth,long,stop_loss,2354.7,2314.3,-1.7157175011678616,0.632776999193107,11.35624,2026-04-14 15:02:27.226983+00,2026-04-14 18:47:09.459+00,True,,1.219,-0.125,1.219,-0.039,1.219,0.052,1.888,1.849,2.969,1.197,False,1.888
edb84b0b-d54e-41c2-91a6-242bc8793972,sol,long,stop_loss,85.766,84.457,-1.5262458316815657,2.0101205605951,22.80663,2026-04-14 04:32:12.291063+00,2026-04-14 18:41:08.495+00,True,,1.083,-0.702,1.083,-1.172,1.083,-1.782,1.083,0.662,5.434,5.325,False,1.083
f2d8e2d4-31c4-49c5-82e0-4c3a4d625812,aapl,long,bb2_expiry,259.18,259.64,0.17748283046530577,0.941430665946446,16.618240000000004,2026-04-14 01:02:22.681636+00,2026-04-14 17:03:06.018+00,True,,0.081,-0.616,0.081,-0.324,0.081,-0.297,2.384,1.926,3.57,1.621,True,2.384
69cdf60f-c672-4f2f-8015-85b4ec2ae38e,tsla,short,stop_loss,362.63,365.67,-0.8383200507404298,0.413644761878499,251.87772999999999,2026-04-14 14:32:24.581172+00,2026-04-14 15:49:06.124+00,True,,1.304,0.175,1.304,0.416,1.304,-0.517,1.304,-7.179,1.304,-6.566,False,1.304
647ebfbe-18b3-4da9-a98e-cb4b24207f50,eth,long,stop_loss,2352.9,2335,-0.7607633133579876,0.0,238.637,2026-04-14 15:02:15.363377+00,2026-04-14 15:09:07.663+00,True,,1.482,-0.133,1.482,-1.011,1.482,-0.334,1.482,-0.201,2.056,0.12,False,1.482
e777b047-fcc7-48cf-923a-2009fd553adc,oil,short,trailing_stop,92.043,90.283,1.9121497560922667,3.39949806068903,70.628676,2026-04-14 00:01:14.313985+00,2026-04-14 15:07:09.802+00,True,,1.98,1.134,2.254,1.49,6.395,2.317,6.395,1.244,6.395,-0.016,True,6.395
2ce81bb1-1b8c-4ef5-a2b0-1ba42a5cb507,hype,long,stop_loss,44.569,43.883,-1.539186430029841,1.40456371020215,16.2319,2026-04-14 07:32:18.154123+00,2026-04-14 14:57:10.805+00,True,,1.648,-0.839,1.648,-1.103,1.648,0.702,1.907,1.579,4.284,1.342,False,1.907
6d02165e-1d69-40b7-815d-b5c2c2b00026,gold,short,bb2_expiry,4732.8,4763.1,-0.6402129817444258,0.646551724137939,21.91026,2026-04-13 13:32:18.861972+00,2026-04-14 05:33:07.15+00,True,,0.099,-0.399,0.099,-0.325,0.174,-1.52,0.174,-1.195,0.174,-1.276,False,0.174
e259b158-9322-4535-986a-e22393c34d73,nvda,long,bb2_expiry,185.5,189,1.8867924528301887,2.19946091644206,22.87505,2026-04-13 12:02:15.780496+00,2026-04-14 04:03:07.163+00,True,,0.19,0.159,0.683,0.561,3.122,2.899,4.164,3.434,6.175,5.354,True,4.164
4d314efd-638f-44bd-9005-7e1f885fad32,spx,long,bb2_expiry,6773.6,6881.9,1.598854375811965,1.73024684067556,27.5276,2026-04-13 11:32:17.560673+00,2026-04-14 03:33:06.761+00,True,No candles returned for xyz:SPX,,,,,,,,,,,,
cb70cd7f-003d-4ede-b7d5-9a998aa59142,sol,short,signal_red,81.919,86.342,-5.3992358305155115,0.736092969884879,85.55085000000001,2026-04-12 14:05:12.982281+00,2026-04-14 00:11:29.226+00,False,,0.857,0.483,0.951,0.573,1.078,0.479,3.556,3.032,4.337,1.667,True,3.556
a97a2260-5cae-4768-b123-5f88d932aa7a,oil,long,signal_red,91.983,92.049,0.07175238902841014,0.0826239631236135,32.922095,2026-04-13 23:32:17.740815+00,2026-04-14 00:01:06.473+00,True,,0.402,0.292,0.733,-0.007,1.3,-0.415,1.3,-4.722,1.3,-4.65,False,1.3
c40af110-ddd2-4b1b-a943-599ed6a9ebf7,aapl,long,bb2_expiry,259.02,259.33,0.11968187784727137,0.339742104856766,38.64017,2026-04-13 07:32:25.757162+00,2026-04-13 23:33:09.48+00,True,,0.062,-0.054,0.062,-0.093,0.062,-0.062,1.003,-0.262,2.977,2.961,False,1.003
65f6557f-e785-41f7-9b64-91f138381a72,btc,long,bb2_expiry,70724.7,73128,3.3981056123249767,3.79400690282179,170.36028,2026-04-13 05:32:13.580202+00,2026-04-13 21:33:09.243+00,True,,2.166,2.012,2.433,1.682,2.433,1.806,3.927,1.504,3.927,2.15,True,3.927
c3a22e2a-5e65-41a9-93db-b9a49450e7ac,sol,short,stop_loss,82.579,83.882,-1.5778829968878427,0.347545986267685,45.297360000000005,2026-04-13 13:02:13.466113+00,2026-04-13 19:47:10.469+00,True,,0.964,-0.006,0.964,-3.117,0.964,-2.358,0.964,0.021,1.532,-1.904,False,0.964
f508f497-fbb2-4f61-b1e0-57275262172e,oil,long,stop_loss,95.729,94.231,-1.5648340628231827,1.77375716867408,75.77458800000001,2026-04-13 14:01:51.543354+00,2026-04-13 17:45:07.307+00,True,,1.037,-1.868,1.037,-1.306,1.037,-1.835,1.037,-5.432,1.037,-5.577,False,1.037
45768e09-68fb-4152-aa59-6c9f28dfe72b,gold,short,stop_loss,4704.1,4740.1,-0.7652898535320252,0.0807805956506065,251.70462,2026-04-13 01:02:15.995135+00,2026-04-13 16:47:08.672+00,True,,0.652,0.198,0.652,-0.055,0.652,-0.698,0.652,-1.468,0.652,-1.407,False,0.652
a41797a8-9cbf-4779-8082-7cc5bbd4238a,tsla,short,stop_loss,341.06,356.1,-4.40978127015775,1.01448425496979,238.08627499999997,2026-04-09 00:12:05.182328+00,2026-04-13 14:07:10.183+00,False,,1.783,1.486,1.783,1.272,1.783,0.562,1.783,-1.985,1.783,-7.068,False,1.783
c769a002-1752-49ea-82f6-57b05bafdb53,aapl,long,stop_loss,259.005,256.81,-0.8474739869886656,0.341692245323446,232.2376,2026-04-13 07:32:15.946129+00,2026-04-13 14:03:09.137+00,True,,0.491,0.113,0.639,0.639,1.195,0.989,1.994,0.448,2.523,2.41,False,1.994
93b99a9a-1749-4bda-92d2-c9fd8563a42b,sol,short,stop_loss,82.341,82.982,-0.7784700210101959,0.862267885986318,233.28901000000002,2026-04-13 06:32:20.000477+00,2026-04-13 13:49:09.306+00,True,,0.858,-0.934,0.858,-0.039,0.858,-3.547,0.858,-5.153,0.858,-0.734,False,0.858
15789dbd-66ac-4885-b01f-1c31b575913c,oil,short,stop_loss,89.753,98.335,-9.561797377246437,,0.098322,2026-04-13 12:32:26.616569+00,2026-04-13 12:33:19.502+00,True,,4.084,2.484,4.164,3.415,7.41,7.276,7.41,6.781,14.06,9.329,True,7.41
c4671302-fa34-485e-b63c-1ea97be6fe9f,sol,short,bb2_expiry,84.998,81.914,3.6283206663686243,,1.6380000000000001,2026-04-13 12:32:26.616569+00,2026-04-13 12:33:17.14+00,True,,0.162,-2.022,0.162,-1.737,0.162,-4.838,0.162,-4.9,0.162,-2.15,False,0.162
a55b4275-6c0d-48b7-a2b9-34d880dadd24,hype,long,bb2_expiry,40.15,41.583,3.569115815691158,,44.695274999999995,2026-04-13 12:32:26.616569+00,2026-04-13 12:33:14.575+00,True,,2.698,2.693,3.891,3.807,7.866,7.496,9.035,8.061,9.035,6.469,True,9.035
